host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,,
0,11,2,2,1,1,0,9,6,30,5,5,5,5,5,5,0,1,,
0,2,1,2,1,1,1,8,6,60,5,5,5,5,5,5,0,1,,
0,33,1,3,1,1,1,5,1,1125,5,5,5,5,5,5,0,1,,
0,1,1,2,1,1,1,3,1,1125,10,10,10,10,10,10,1,13,,
0,3,2,1,1,1,1,2,1,1125,5,5,5,5,5,5,0,1,,
0,5,2,2,1,1,1,4,1,7,5,5,5,5,5,5,0,1,,
0,1,1,4,1,2,1,10,3,30,10,10,9,9,9,10,1,1,,
0,5,2,2,1,1,1,3,1,21,5,5,5,5,5,5,0,1,,
1,24,1,8,2,4,5,25,3,1125,10,8,10,10,6,6,0,8,,
0,28,2,1,1,1,1,4,1,1125,5,5,5,5,5,5,0,1,,
0,5,2,2,1,1,1,7,3,14,10,10,10,10,10,10,1,1,,
0,3,2,1,1,1,1,2,2,1125,10,10,10,10,10,10,0,2,,
0,4,2,1,1,1,1,3,7,7,10,10,9,10,9,9,0,3,,
0,2,2,2,2,1,1,4,1,7,5,5,5,5,5,5,0,4,,
0,4,2,2,1,1,1,2,1,1125,5,5,5,5,5,5,0,1,,
0,4,1,5,1,2,2,10,2,1125,10,10,10,10,10,10,0,4,,
0,1,1,3,1,2,2,5,5,1125,7,4,8,8,7,7,0,1,,
0,1,2,3,2,1,2,3,2,31,9,9,10,10,10,9,0,1,,
1,6,1,3,1,2,3,5,3,180,10,10,10,10,10,10,0,2,,
0,2,1,2,1,1,1,3,2,1125,9,9,9,10,9,9,0,12,,
0,6,2,2,1,1,2,6,1,365,10,10,10,10,8,10,0,1,,
0,2,1,2,1,3,1,2,180,1095,5,5,5,5,5,5,0,1,,
0,3,1,7,2,2,4,5,2,2147483647,9,9,10,10,10,9,1,1,,
0,8,2,1,1,1,1,4,1,1125,5,5,5,5,5,5,0,1,,
0,2,1,4,1,3,3,10,1,5,8,8,10,10,8,8,0,1,,
0,1,1,2,1,1,1,2,2,1095,9,9,10,10,8,9,1,6,,
0,1,2,2,1,1,1,2,2,1125,10,10,10,10,10,10,0,1,,
0,1,2,2,2.5,1,1,2,2,90,8,8,10,10,10,9,1,8,,
0,1,1,6,1,2,5,5,4,1125,10,9,10,10,10,9,1,19,,
0,6,2,1,1,1,1,4,1,1125,5,5,5,5,5,5,0,1,,
0,18,2,1,1,1,1,4,1,1125,5,5,5,5,5,5,1,1,,
0,15,2,4,1,2,2,1,1,1125,9,8,9,9,9,9,0,3,,
0,15,2,4,1,2,1,1,1,1125,9,9,9,10,9,9,0,3,,
1,1,1,3,1,1,1,7,3,1125,10,10,10,10,9,9,0,4,,
0,5,1,4,1,1,2,4,3,370,9,9,10,10,9,8,0,1,,
0,27,2,3,1,1,2,5,1,7,10,10,10,10,9,8,0,1,,
0,1,1,2,1,1,1,5,365,1125,9,8,10,9,10,8,0,1,,
0,1,2,2,1,1,1,1,3,360,9,10,10,9,10,9,1,2,,
0,13,2,2,1,1,1,4,1,1125,5,5,5,5,5,5,0,2,,
0,3,1,4,1,2,1,5,3,60,9,9,9,9,9,9,0,7,,
0,2,2,1,1,1,1,2,1,120,8,7,9,8,7,7,0,1,,
0,1,4,2,1,1,4,5,1,1125,5,5,5,5,5,5,0,1,,
0,5,1,2,1,1,1,9,1,1125,5,5,5,5,5,5,0,1,,
0,3,1,3,1,1,1,7,1,1125,5,5,5,5,5,5,0,2,,
0,5,2,1,1,1,1,8,7,365,5,5,5,5,5,5,0,1,,
0,2,3,3,1,1,2,8,3,365,9,9,8,9,10,9,1,4,,
0,1,3,2,1,1,1,4,1,29,9,9,10,10,10,10,1,6,,
0,1,1,3,1,1,1,2,4,180,10,9,10,10,10,9,1,2,,
0,2,3,3,1,1,3,8,3,365,5,5,5,5,5,5,1,4,,
0,1,1,6,2,2,4,11,4,60,10,10,10,10,10,10,0,4,,
0,1,1,3,1,2,3,2,60,1125,4,2,8,4,8,6,0,1,,
1,1,1,6,2,2,2,7,2,30,10,10,10,9,10,10,1,1,,
0,1,2,5,2,2,0,7,2,1125,5,5,5,5,5,5,1,13,,
0,1,4,2,2,1,1,2,1,1125,9,9,10,9,10,9,0,1,,
0,2,2,2,1,1,1,3,1,240,5,5,5,5,5,5,0,1,,
0,5,1,3,1,1,2,17,1,10,5,5,5,5,5,5,1,1,,
1,1,1,3,1,2,2,6,95,1125,10,10,10,10,10,10,0,1,,
0,2,1,4,1,1,1,9,1,1125,5,5,5,5,5,5,0,1,,
0,1,1,4,1,1,0,12,1,1125,5,5,5,5,5,5,0,3,,
1,5,1,2,1,1,2,5,7,30,9,9,9,10,10,9,1,1,,
1,1,1,4,1,1,3,6,4,365,9,9,9,9,10,9,0,1,,
0,9,2,1,1,1,1,4,1,14,5,5,5,5,5,5,0,1,,
1,1,3,2,2,1,1,17,5,1125,9,9,10,9,10,10,1,8,,
