,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
7887,f,Beyoglu,Hotel room,1,1 bath,1.0,,"$1,427.00",1,1125,,,,,,,t,2
7888,f,Beyoglu,Hotel room,2,1 bath,1.0,,"$1,523.00",1,1125,,,,,,,t,2
7889,f,Beyoglu,Private room,2,1 private bath,1.0,1.0,$120.00,6,15,10.0,10.0,10.0,10.0,6.0,10.0,f,1
7890,f,Sisli,Private room,2,1 shared bath,1.0,2.0,$175.00,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,t,1
7891,f,Kadikoy,Private room,1,1 shared bath,1.0,1.0,$99.00,1,1125,,,,,,,f,1
7892,f,Atasehir,Entire home/apt,2,1 bath,1.0,1.0,$193.00,3,1125,10.0,10.0,9.0,9.0,9.0,10.0,t,1
7893,f,Basaksehir,Entire home/apt,6,2 baths,3.0,5.0,$318.00,2,1125,9.0,8.0,10.0,10.0,9.0,9.0,t,1
7894,f,Fatih,Private room,2,1 shared bath,1.0,2.0,$145.00,1,15,10.0,10.0,8.0,10.0,6.0,8.0,t,1
7895,t,Beyoglu,Entire home/apt,3,1 bath,1.0,2.0,$133.00,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,1
7896,f,Fatih,Private room,2,1 private bath,,1.0,$252.00,1,1125,9.0,8.0,9.0,9.0,9.0,9.0,t,17
7897,f,Fatih,Hotel room,3,1 bath,1.0,3.0,$288.00,1,30,6.0,6.0,10.0,7.0,10.0,9.0,t,17
7898,f,Uskudar,Hotel room,16,4.5 baths,6.0,17.0,$228.00,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,t,1
7899,f,Atasehir,Hotel room,2,2 baths,2.0,2.0,$300.00,1,1125,6.0,6.0,6.0,7.0,7.0,7.0,t,26
7900,f,Esenyurt,Private room,1,1 shared bath,,1.0,$80.00,1,1125,,,,,,,t,1
7901,f,Fatih,Hotel room,2,1 bath,1.0,1.0,$246.00,2,30,9.0,8.0,9.0,9.0,9.0,9.0,t,17
7902,f,Fatih,Hotel room,2,0 baths,14.0,6.0,$269.00,1,1125,8.0,7.0,10.0,10.0,10.0,8.0,t,17
7903,f,Avcilar,Private room,3,1 private bath,1.0,1.0,$432.00,1,1125,10.0,8.0,8.0,8.0,8.0,8.0,t,1
7904,f,Kadikoy,Private room,2,1 shared bath,1.0,1.0,$407.00,1,30,,,,,,,t,1
7905,f,Sisli,Shared room,1,0 shared baths,1.0,1.0,$97.00,5,1125,,,,,,,t,1
7906,f,Fatih,Entire home/apt,2,1 bath,1.0,1.0,$590.00,1,1125,,,,,,,t,1
7907,f,Esenyurt,Shared room,4,1 shared bath,1.0,1.0,$110.00,4,120,,,,,,,f,1
7908,f,Maltepe,Entire home/apt,2,1 bath,1.0,0.0,$172.00,2,1125,,,,,,,t,1
7909,t,Kadikoy,Private room,2,1 shared bath,1.0,1.0,$81.00,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,3
7910,t,Kagithane,Private room,2,1 shared bath,1.0,1.0,$114.00,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,t,2
7911,f,Sisli,Entire home/apt,10,2 baths,4.0,8.0,"$2,141.00",7,60,,,,,,,f,1
7912,t,Beyoglu,Entire home/apt,4,1 bath,1.0,2.0,$362.00,3,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,6
7913,f,Fatih,Entire home/apt,6,1 bath,3.0,4.0,$476.00,1,90,6.0,6.0,7.0,7.0,7.0,5.0,t,2
7914,t,Beyoglu,Entire home/apt,5,1 bath,1.0,1.0,$381.00,2,30,10.0,10.0,10.0,10.0,10.0,10.0,t,2
7915,f,Sisli,Private room,1,1 shared bath,1.0,1.0,$130.00,2,6,,,,,,,f,2
7916,f,Sisli,Entire home/apt,16,1 bath,1.0,1.0,$125.00,1,1125,10.0,8.0,10.0,10.0,10.0,10.0,t,1
7917,f,Beyoglu,Entire home/apt,2,1 bath,1.0,1.0,"$2,379.00",5,30,10.0,8.0,10.0,10.0,10.0,8.0,f,1
7918,f,Kadikoy,Private room,1,1 shared bath,1.0,1.0,$241.00,3,30,,,,,,,t,1
7919,f,Beyoglu,Entire home/apt,2,1 bath,1.0,2.0,"$1,107.00",1,30,9.0,9.0,9.0,9.0,9.0,9.0,t,4
7920,f,Beyoglu,Entire home/apt,4,1 bath,2.0,3.0,$900.00,2,365,,,,,,,t,3
7921,f,Kagithane,Private room,2,1 shared bath,1.0,2.0,$80.00,1,1125,,,,,,,t,3
7922,f,Uskudar,Private room,2,1 shared bath,2.0,1.0,$150.00,1,1125,,,,,,,t,5
7923,t,Beyoglu,Entire home/apt,3,1 bath,1.0,2.0,$498.00,1,1125,10.0,10.0,9.0,10.0,10.0,10.0,t,1
7924,t,Beyoglu,Entire home/apt,8,2 baths,4.0,4.0,"$1,416.00",1,1125,10.0,10.0,10.0,10.0,10.0,10.0,t,2
7925,f,Besiktas,Entire home/apt,4,1 bath,2.0,2.0,$750.00,3,7,,,,,,,t,1
7926,f,Sisli,Entire home/apt,4,1 bath,1.0,1.0,$177.00,3,365,10.0,9.0,10.0,10.0,9.0,10.0,f,1
7927,f,Uskudar,Private room,1,1 shared bath,2.0,2.0,$150.00,1,15,,,,,,,t,5
7928,f,Sisli,Private room,2,1 shared bath,1.0,2.0,$86.00,1,1125,,,,,,,t,3
7929,t,Zeytinburnu,Entire home/apt,3,1 bath,1.0,1.0,$285.00,4,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,5
7930,f,Basaksehir,Entire home/apt,3,1 bath,1.0,2.0,$489.00,4,1125,10.0,10.0,10.0,10.0,10.0,10.0,t,1
7931,t,Fatih,Private room,4,1.5 shared baths,1.0,2.0,$241.00,2,1125,7.0,8.0,10.0,10.0,9.0,8.0,t,8
7932,f,Esenyurt,Entire home/apt,3,1 bath,2.0,2.0,$250.00,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,t,2
7933,f,Sisli,Private room,1,1 shared bath,1.0,1.0,$80.00,1,1125,,,,,,,f,1
7934,t,Fatih,Private room,1,2.5 shared baths,1.0,1.0,$80.00,5,1125,8.0,7.0,10.0,10.0,10.0,8.0,f,5
