,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
5594,t,Beyoglu,Private room,2,2 shared baths,1.0,1.0,$182.00,2,1125,10.0,9.0,10.0,10.0,10.0,10.0,t,4
5595,f,Sisli,Entire home/apt,2,1 bath,1.0,1.0,$220.00,2,1125,9.0,9.0,10.0,9.0,9.0,9.0,t,7
5596,f,Fatih,Entire home/apt,6,2.5 baths,2.0,4.0,"$1,153.00",3,1125,10.0,10.0,10.0,10.0,9.0,10.0,f,6
5597,f,Sisli,Private room,2,1 shared bath,1.0,1.0,$282.00,1,1125,,,,,,,t,1
5598,f,Beyoglu,Hotel room,4,1 bath,,4.0,$523.00,2,1125,,,,,,,t,4
5599,t,Fatih,Hotel room,4,1 bath,1.0,3.0,$542.00,2,60,9.0,9.0,9.0,9.0,10.0,9.0,t,12
5600,t,Fatih,Hotel room,4,1 bath,1.0,3.0,$542.00,2,60,,,,,,,t,12
5601,t,Fatih,Hotel room,4,1 bath,1.0,3.0,$542.00,2,60,,,,,,,t,12
5602,t,Beylikduzu,Entire home/apt,4,1 bath,1.0,3.0,$963.00,2,1125,10.0,9.0,10.0,10.0,9.0,10.0,f,5
5603,f,Maltepe,Private room,2,1 shared bath,1.0,1.0,$120.00,1,1125,,,,,,,t,1
5604,f,Beykoz,Entire home/apt,4,2 baths,4.0,4.0,$550.00,3,20,,,,,,,t,1
5605,f,Bahcelievler,Entire home/apt,5,1 bath,3.0,5.0,$193.00,2,1125,2.0,2.0,2.0,2.0,2.0,2.0,t,2
5606,t,Besiktas,Private room,1,1 shared bath,1.0,1.0,$105.00,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,1
5607,f,Beyoglu,Entire home/apt,4,1 bath,1.0,4.0,$148.00,7,1125,9.0,8.0,10.0,10.0,10.0,10.0,f,1
5608,t,Beyoglu,Entire home/apt,3,1 bath,1.0,2.0,$333.00,3,1125,10.0,9.0,10.0,10.0,10.0,10.0,t,6
5609,t,Sisli,Entire home/apt,5,1 bath,2.0,3.0,$638.00,1,90,10.0,10.0,10.0,10.0,10.0,10.0,t,3
5610,f,Fatih,Entire home/apt,2,1 bath,,1.0,$367.00,14,1125,10.0,10.0,9.0,10.0,9.0,9.0,t,6
5611,t,Sisli,Private room,2,1 shared bath,1.0,2.0,$80.00,2,32,9.0,9.0,10.0,10.0,9.0,10.0,t,2
5612,f,Beyoglu,Entire home/apt,2,1 bath,1.0,1.0,$225.00,2,1125,,,,,,,f,20
5613,f,Bahcelievler,Private room,2,1 shared bath,,1.0,$80.00,1,1125,,,,,,,t,1
5614,f,Kadikoy,Shared room,1,1 shared bath,1.0,0.0,$97.00,1,5,,,,,,,t,1
5615,f,Fatih,Private room,2,16 baths,10.0,1.0,$428.00,1,50,10.0,8.0,10.0,10.0,10.0,10.0,t,1
5616,f,Besiktas,Private room,2,1 bath,1.0,1.0,$162.00,2,40,,,,,,,f,1
5617,f,Beyoglu,Private room,2,1 private bath,,2.0,$193.00,2,1125,5.0,4.0,8.0,8.0,8.0,5.0,t,4
5618,f,Sisli,Entire home/apt,4,1.5 baths,1.0,3.0,$542.00,1,1125,7.0,7.0,9.0,7.0,9.0,7.0,f,23
5619,f,Kadikoy,Private room,2,1 shared bath,1.0,1.0,$80.00,2,60,9.0,9.0,10.0,9.0,9.0,9.0,t,1
5620,t,Beyoglu,Entire home/apt,4,1 bath,1.0,2.0,$374.00,3,1125,10.0,10.0,10.0,10.0,10.0,9.0,t,6
5621,f,Besiktas,Private room,2,1 shared bath,1.0,1.0,$238.00,3,7,,,,,,,f,1
5622,t,Beyoglu,Entire home/apt,4,2 baths,2.0,2.0,"$1,028.00",1,200,10.0,9.0,10.0,10.0,10.0,9.0,t,2
5623,f,Besiktas,Private room,2,1 shared bath,1.0,1.0,$100.00,1,10,,,,,,,f,2
5624,f,Fatih,Private room,4,1 private bath,1.0,3.0,$549.00,2,1125,,,,,,,t,12
5625,f,Fatih,Private room,4,1 private bath,1.0,0.0,$542.00,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,t,12
5626,f,Kucukcekmece,Entire home/apt,2,1 bath,2.0,1.0,$289.00,3,7,10.0,10.0,10.0,10.0,9.0,9.0,f,1
5627,f,Fatih,Private room,4,1 private bath,1.0,3.0,$549.00,2,1125,,,,,,,t,12
5628,f,Fatih,Hotel room,3,1 bath,1.0,3.0,$455.00,2,1125,10.0,9.0,10.0,10.0,10.0,10.0,t,11
5629,f,Fatih,Hotel room,3,1 bath,1.0,3.0,$455.00,2,1125,,,,,,,t,11
5630,f,Fatih,Hotel room,3,1 bath,1.0,3.0,$455.00,2,1125,,,,,,,t,11
5631,f,Fatih,Hotel room,4,1 bath,1.0,3.0,$551.00,2,1125,,,,,,,t,11
5632,f,Fatih,Hotel room,4,1 bath,1.0,3.0,$551.00,2,1125,,,,,,,t,11
5633,f,Fatih,Hotel room,4,1 bath,1.0,3.0,$551.00,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,t,11
5634,f,Fatih,Hotel room,4,1 bath,1.0,3.0,$551.00,2,1125,,,,,,,t,11
5635,f,Fatih,Hotel room,3,1 bath,1.0,3.0,$455.00,2,1125,,,,,,,t,11
5636,f,Fatih,Hotel room,2,1 bath,1.0,1.0,$360.00,2,1125,,,,,,,t,11
5637,f,Fatih,Hotel room,2,1 bath,1.0,1.0,$360.00,2,1125,,,,,,,t,11
5638,f,Fatih,Hotel room,2,1 bath,1.0,1.0,$360.00,2,1125,,,,,,,t,11
5639,t,Beyoglu,Entire home/apt,3,1 bath,,1.0,$306.00,27,1125,10.0,10.0,10.0,10.0,10.0,10.0,t,6
5640,f,Atasehir,Private room,1,1 shared bath,1.0,1.0,$100.00,1,1125,,,,,,,t,1
5641,f,Besiktas,Private room,2,1 shared bath,1.0,1.0,$153.00,1,1125,,,,,,,f,3
5642,f,Tuzla,Entire home/apt,6,1 bath,2.0,2.0,$193.00,60,365,10.0,10.0,10.0,10.0,9.0,9.0,f,6
5643,f,Bakirkoy,Entire home/apt,4,1 bath,2.0,2.0,$489.00,1,280,,,,,,,t,2
5644,f,Beyoglu,Entire home/apt,2,1 bath,1.0,1.0,$504.00,1,8,10.0,10.0,10.0,10.0,10.0,9.0,f,1
5645,f,Gaziosmanpasa,Private room,2,1 shared bath,1.0,2.0,$100.00,14,1125,,,,,,,f,1
5646,t,Beyoglu,Entire home/apt,4,1 bath,1.0,2.0,$428.00,5,10,10.0,10.0,10.0,10.0,10.0,10.0,t,7
5647,f,Beyoglu,Entire home/apt,2,1 bath,1.0,1.0,$604.00,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,1
5648,f,Basaksehir,Private room,2,3 baths,1.0,1.0,"$2,037.00",1,1125,,,,,,,t,2
5649,t,Tuzla,Entire home/apt,4,1 bath,1.0,2.0,$690.00,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,4
5650,t,Beyoglu,Entire home/apt,5,1 bath,2.0,2.0,$550.00,7,1125,10.0,9.0,10.0,10.0,10.0,10.0,t,2
5651,f,Bakirkoy,Private room,2,2 baths,1.0,2.0,$407.00,1,1125,,,,,,,t,1
5652,f,Sisli,Entire home/apt,2,1 bath,1.0,1.0,$185.00,1,1125,9.0,8.0,10.0,9.0,10.0,9.0,t,25
5653,f,Kadikoy,Private room,2,1 shared bath,,1.0,$95.00,1,60,,,,,,,f,1
5654,f,Kadikoy,Private room,1,1 shared bath,1.0,2.0,$105.00,1,1125,,,,,,,f,1
5655,f,Besiktas,Private room,1,1 shared bath,1.0,1.0,$80.00,1,1125,,,,,,,f,1
5656,f,Kagithane,Entire home/apt,5,2 baths,3.0,4.0,$300.00,1,1125,,,,,,,t,1
5657,f,Beyoglu,Private room,2,1 shared bath,1.0,1.0,$190.00,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,1
5658,f,Besiktas,Private room,2,1 shared bath,1.0,1.0,$150.00,1,1125,,,,,,,f,2
5659,f,Beyoglu,Private room,4,1 shared bath,1.0,1.0,$285.00,1,1125,,,,,,,f,1
5660,f,Beyoglu,Entire home/apt,4,1 bath,1.0,2.0,$583.00,3,15,10.0,10.0,10.0,10.0,10.0,10.0,f,1
5661,f,Kadikoy,Private room,1,1 private bath,1.0,1.0,$199.00,5,15,10.0,10.0,10.0,10.0,10.0,10.0,t,1
5662,f,Sisli,Entire home/apt,6,1 bath,2.0,3.0,$153.00,2,1125,10.0,9.0,10.0,10.0,10.0,9.0,t,1
5663,t,Beyoglu,Private room,2,1 shared bath,1.0,1.0,$120.00,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,t,3
5664,f,Fatih,Private room,4,1 shared bath,2.0,2.0,$241.00,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,t,3
5665,t,Beyoglu,Entire home/apt,6,1 bath,2.0,4.0,$466.00,2,180,10.0,10.0,10.0,10.0,10.0,10.0,f,1
5666,f,Kucukcekmece,Private room,2,1 private bath,2.0,2.0,$250.00,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,t,1
5667,f,Kadikoy,Shared room,2,1 shared bath,1.0,1.0,$121.00,1,30,,,,,,,t,1
5668,f,Kadikoy,Entire home/apt,4,1.5 baths,3.0,3.0,$240.00,30,90,10.0,8.0,10.0,10.0,10.0,10.0,t,1
5669,f,Fatih,Hotel room,2,1 bath,,1.0,$428.00,2,1125,10.0,8.0,10.0,10.0,10.0,10.0,t,6
5670,f,Basaksehir,Private room,1,1 shared bath,,1.0,$120.00,1,7,,,,,,,t,1
5671,f,Fatih,Entire home/apt,4,1 bath,1.0,3.0,$250.00,7,1125,,,,,,,t,1
5672,f,Kucukcekmece,Entire home/apt,4,2 baths,2.0,2.0,$180.00,30,90,,,,,,,t,1
5673,t,Uskudar,Private room,2,1.5 shared baths,1.0,2.0,$143.00,3,15,,,,,,,f,2
5674,f,Kadikoy,Entire home/apt,9,1 bath,3.0,7.0,$324.00,2,90,9.0,9.0,10.0,10.0,10.0,9.0,t,1
5675,f,Kadikoy,Private room,2,1 shared bath,,1.0,$143.00,3,30,,,,,,,f,1
5676,t,Beyoglu,Entire home/apt,4,1 bath,1.0,2.0,$333.00,5,1125,10.0,9.0,10.0,10.0,10.0,10.0,f,7
5677,f,Besiktas,Private room,2,1 shared bath,1.0,1.0,$105.00,1,120,10.0,10.0,10.0,10.0,10.0,10.0,t,1
5678,f,Beyoglu,Hotel room,4,1 bath,1.0,2.0,$197.00,1,365,8.0,4.0,6.0,2.0,2.0,2.0,t,28
5679,f,Kadikoy,Private room,2,1 shared bath,1.0,1.0,$220.00,1,1125,9.0,9.0,9.0,9.0,10.0,10.0,f,1
5680,f,Buyukcekmece,Hotel room,1,1 bath,1.0,1.0,$285.00,1,200,,,,,,,f,4
5681,f,Beyoglu,Hotel room,3,1 bath,1.0,2.0,$163.00,1,1125,7.0,9.0,9.0,7.0,7.0,7.0,t,28
5682,f,Avcilar,Private room,1,1 shared bath,1.0,1.0,$80.00,1,1125,,,,,,,f,1
5683,f,Beyoglu,Entire home/apt,4,1 bath,1.0,3.0,$197.00,4,365,10.0,9.0,10.0,10.0,9.0,10.0,t,28
5684,f,Kadikoy,Private room,2,1 bath,,1.0,$241.00,3,1125,,,,,,,t,1
5685,f,Beyoglu,Hotel room,3,1 bath,1.0,0.0,$159.00,1,365,10.0,10.0,10.0,10.0,9.0,10.0,t,28
5686,f,Buyukcekmece,Hotel room,2,1 bath,1.0,1.0,$342.00,1,1125,,,,,,,f,4
5687,t,Beyoglu,Entire home/apt,10,1 bath,3.0,5.0,$209.00,2,1125,10.0,10.0,10.0,10.0,9.0,10.0,t,38
5688,t,Beyoglu,Entire home/apt,8,1 bath,2.0,4.0,$190.00,2,1125,9.0,9.0,9.0,9.0,8.0,9.0,t,38
5689,f,Kagithane,Private room,2,1 shared bath,1.0,1.0,$190.00,1,30,,,,,,,f,1
5690,f,Sisli,Entire home/apt,4,1 bath,1.0,2.0,$659.00,3,1125,10.0,10.0,10.0,10.0,10.0,10.0,t,1
5691,t,Adalar,Entire home/apt,4,1 bath,3.0,4.0,$430.00,1,5,10.0,9.0,10.0,10.0,9.0,9.0,f,1
5692,f,Sariyer,Entire home/apt,6,3 baths,4.0,6.0,"$3,910.00",6,90,2.0,2.0,10.0,2.0,10.0,2.0,f,1
5693,f,Beyoglu,Entire home/apt,3,1 bath,,3.0,$162.00,1,1125,9.0,8.0,8.0,9.0,8.0,8.0,t,10
5694,t,Beyoglu,Private room,2,1 shared bath,1.0,1.0,$106.00,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,2
5695,t,Beyoglu,Entire home/apt,4,1 bath,1.0,2.0,$455.00,2,40,10.0,9.0,10.0,10.0,10.0,9.0,f,1
5696,f,Beyoglu,Private room,2,1 shared bath,1.0,1.0,$209.00,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,2
5697,t,Beyoglu,Entire home/apt,10,1 bath,3.0,5.0,$171.00,2,1125,9.0,9.0,10.0,10.0,9.0,9.0,t,38
5698,f,Sisli,Private room,2,1 shared bath,1.0,1.0,$250.00,2,60,,,,,,,f,2
5699,f,Kadikoy,Private room,2,1 shared bath,1.0,1.0,$95.00,1,8,10.0,10.0,10.0,10.0,10.0,10.0,f,1
5700,f,Beyoglu,Private room,2,1 shared bath,1.0,1.0,$150.00,2,1125,,,,,,,f,20
5701,f,Fatih,Hotel room,2,1 bath,1.0,2.0,$107.00,1,1125,8.0,9.0,9.0,9.0,8.0,8.0,t,5
5702,t,Beyoglu,Entire home/apt,4,1 bath,2.0,5.0,$506.00,2,1125,10.0,10.0,9.0,10.0,10.0,10.0,f,1
5703,t,Besiktas,Entire home/apt,3,1 bath,1.0,1.0,$257.00,4,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,1
5704,f,Fatih,Private room,2,1 shared bath,1.0,1.0,$121.00,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,1
5705,f,Kadikoy,Private room,2,1 shared bath,1.0,1.0,$204.00,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,1
5706,f,Fatih,Private room,2,1 private bath,1.0,1.0,$207.00,1,365,10.0,10.0,10.0,10.0,10.0,9.0,t,10
5707,f,Kadikoy,Private room,1,1 shared bath,1.0,1.0,$70.00,1,1125,,,,,,,f,1
5708,t,Besiktas,Entire home/apt,4,1.5 baths,2.0,3.0,$450.00,3,1124,10.0,10.0,10.0,10.0,10.0,10.0,t,1
5709,t,Beyoglu,Entire home/apt,7,1 bath,2.0,4.0,$438.00,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,t,14
5710,f,Kagithane,Private room,1,1 shared bath,,1.0,$80.00,1,3,,,,,,,f,1
5711,f,Sisli,Private room,3,1 private bath,1.0,2.0,$476.00,1,1125,,,,,,,f,6
5712,f,Sisli,Private room,2,1 private bath,1.0,2.0,$381.00,1,1125,,,,,,,f,6
5713,f,Sisli,Private room,11,4 baths,4.0,7.0,"$1,523.00",1,1125,8.0,8.0,10.0,10.0,10.0,10.0,f,6
5714,f,Sariyer,Private room,2,1 shared bath,1.0,1.0,$90.00,1,1125,10.0,9.0,10.0,10.0,10.0,10.0,f,1
5715,f,Kartal,Private room,2,2 shared baths,1.0,1.0,$337.00,3,6,,,,,,,f,1
5716,f,Sisli,Shared room,2,1 shared bath,1.0,0.0,$80.00,3,29,10.0,10.0,10.0,10.0,10.0,10.0,f,1
5717,f,Sisli,Private room,2,1 shared bath,1.0,2.0,$238.00,1,10,,,,,,,f,1
5718,f,Kadikoy,Private room,1,1 shared bath,1.0,1.0,$100.00,2,7,,,,,,,t,1
5719,f,Beyoglu,Private room,1,1 shared bath,1.0,1.0,$105.00,1,20,9.0,10.0,9.0,10.0,9.0,10.0,f,2
5720,f,Beyoglu,Shared room,6,1 shared bath,1.0,1.0,$190.00,3,1125,,,,,,,t,1
5721,f,Beyoglu,Private room,2,1 shared bath,1.0,1.0,$150.00,2,1125,8.0,10.0,10.0,10.0,10.0,10.0,f,20
5722,f,Beyoglu,Private room,2,1 shared bath,,1.0,$150.00,2,1125,10.0,10.0,10.0,10.0,10.0,9.0,t,1
5723,f,Kadikoy,Entire home/apt,6,2 baths,2.0,2.0,$765.00,5,30,10.0,8.0,10.0,10.0,10.0,10.0,f,1
5724,f,Buyukcekmece,Entire home/apt,2,1 bath,1.0,1.0,$220.00,1,30,10.0,9.0,10.0,9.0,9.0,9.0,f,4
5725,f,Buyukcekmece,Entire home/apt,4,1 bath,1.0,2.0,$220.00,1,30,10.0,10.0,10.0,10.0,10.0,10.0,f,4
5726,f,Beyoglu,Private room,1,1 shared bath,1.0,1.0,"$1,047.00",2,4,,,,,,,f,1
5727,f,Beyoglu,Entire home/apt,2,1 bath,1.0,2.0,$402.00,1,16,10.0,10.0,10.0,10.0,10.0,10.0,f,1
5728,f,Sisli,Private room,1,1 shared bath,1.0,1.0,$171.00,1,15,,,,,,,t,1
5729,f,Buyukcekmece,Entire home/apt,5,2 baths,2.0,5.0,$535.00,2,27,7.0,8.0,9.0,8.0,9.0,8.0,f,2
5730,f,Sisli,Entire home/apt,4,1 bath,2.0,2.0,$428.00,2,60,8.0,8.0,10.0,9.0,8.0,7.0,f,2
5731,f,Umraniye,Private room,4,1.5 shared baths,1.0,3.0,$145.00,1,1125,,,,,,,t,1
5732,t,Kucukcekmece,Entire home/apt,4,1 bath,1.0,3.0,$159.00,15,1125,,,,,,,f,5
5733,t,Kadikoy,Entire home/apt,4,2 baths,,2.0,$611.00,12,1125,,,,,,,f,1
5734,f,Sisli,Entire home/apt,2,1 bath,1.0,1.0,$285.00,1,7,10.0,9.0,10.0,10.0,8.0,9.0,f,1
5735,f,Buyukcekmece,Hotel room,3,1 bath,1.0,3.0,$441.00,1,1125,10.0,10.0,10.0,10.0,10.0,8.0,f,4
5736,f,Buyukcekmece,Hotel room,5,1 bath,2.0,4.0,$623.00,1,1125,,,,,,,f,4
5737,f,Beyoglu,Private room,2,1 private bath,,2.0,$197.00,2,1125,10.0,2.0,10.0,8.0,6.0,4.0,t,4
5738,f,Beyoglu,Hotel room,2,1 bath,,2.0,$190.00,2,1125,,,,,,,t,4
5739,f,Beyoglu,Hotel room,6,1.5 baths,1.0,12.0,$86.00,1,1125,8.0,8.0,8.0,8.0,9.0,8.0,f,17
5740,t,Beyoglu,Entire home/apt,3,1 bath,1.0,1.0,$309.00,3,100,10.0,10.0,10.0,10.0,10.0,10.0,t,9
5741,f,Beyoglu,Private room,2,1 private bath,1.0,1.0,$209.00,2,365,10.0,10.0,10.0,10.0,10.0,10.0,t,5
5742,f,Sisli,Entire home/apt,5,3 baths,2.0,2.0,$796.00,3,1125,9.0,8.0,9.0,9.0,10.0,9.0,f,29
5743,f,Fatih,Entire home/apt,2,1 bath,,1.0,$185.00,1,1125,,,,,,,f,1
5744,f,Besiktas,Entire home/apt,4,1 bath,3.0,3.0,$937.00,1,1125,,,,,,,t,1
5745,f,Beyoglu,Entire home/apt,6,1 bath,2.0,2.0,$460.00,1,1125,9.0,8.0,9.0,8.0,9.0,8.0,f,31
5746,t,Beyoglu,Entire home/apt,4,1 bath,1.0,2.0,$333.00,5,1125,10.0,10.0,10.0,10.0,9.0,9.0,t,7
5747,f,Sisli,Private room,2,1 shared bath,1.0,1.0,$200.00,2,1125,8.0,8.0,9.0,9.0,8.0,8.0,f,1
5748,f,Sisli,Private room,1,1 shared bath,1.0,1.0,$150.00,1,30,,,,,,,t,1
5749,f,Kadikoy,Entire home/apt,4,1 bath,2.0,2.0,"$1,000.00",7,1125,4.0,10.0,6.0,10.0,10.0,6.0,t,2
5750,f,Sisli,Private room,1,1 shared bath,1.0,1.0,$100.00,1,7,10.0,9.0,10.0,10.0,10.0,10.0,t,1
5751,f,Beyoglu,Private room,2,1.5 baths,1.0,2.0,$143.00,2,1125,9.0,8.0,9.0,9.0,10.0,9.0,f,17
5752,f,Besiktas,Entire home/apt,3,1.5 baths,1.0,1.0,"$1,713.00",3,40,10.0,10.0,10.0,10.0,10.0,10.0,t,1
5753,f,Sisli,Private room,2,1 private bath,1.0,1.0,$214.00,1,1125,,,,,,,t,1
5754,f,Kagithane,Private room,1,1 shared bath,1.0,4.0,$80.00,1,1125,,,,,,,t,1
5755,f,Besiktas,Private room,2,1 shared bath,1.0,1.0,$86.00,1,1125,10.0,9.0,10.0,10.0,10.0,10.0,f,1
5756,t,Beyoglu,Entire home/apt,6,2 baths,2.0,3.0,$255.00,3,1125,10.0,10.0,10.0,10.0,10.0,10.0,t,8
5757,f,Fatih,Private room,2,1 private bath,1.0,2.0,$209.00,360,360,8.0,8.0,8.0,8.0,6.0,6.0,t,2
5758,f,Beyoglu,Entire home/apt,3,1 bath,1.0,1.0,"$1,361.00",2,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,10
5759,f,Beyoglu,Entire home/apt,3,1 bath,1.0,1.0,"$1,142.00",2,1125,10.0,9.0,10.0,10.0,10.0,9.0,t,10
5760,f,Beyoglu,Entire home/apt,2,1 bath,1.0,1.0,$837.00,2,1125,10.0,10.0,10.0,10.0,10.0,9.0,t,10
5761,f,Kagithane,Entire home/apt,6,1 bath,3.0,6.0,$350.00,1,3,,,,,,,t,2
5762,f,Beyoglu,Private room,2,1 private bath,1.0,1.0,$333.00,2,30,9.0,9.0,10.0,10.0,10.0,10.0,t,4
5763,f,Esenyurt,Entire home/apt,5,1 bath,1.0,4.0,$367.00,2,1125,7.0,9.0,9.0,7.0,9.0,9.0,t,2
5764,f,Kagithane,Entire home/apt,7,2.5 baths,4.0,4.0,$381.00,2,1124,10.0,8.0,10.0,10.0,10.0,10.0,t,3
5765,f,Adalar,Entire home/apt,4,1 bath,2.0,2.0,$464.00,1,30,10.0,10.0,10.0,10.0,10.0,10.0,f,11
5766,f,Sisli,Entire home/apt,2,1 bath,1.0,2.0,"$1,047.00",1,1125,9.0,10.0,9.0,8.0,9.0,10.0,t,22
5767,f,Sisli,Entire home/apt,4,2 baths,2.0,3.0,"$1,713.00",1,1125,9.0,8.0,8.0,8.0,9.0,8.0,t,22
5768,f,Sisli,Entire home/apt,6,2 baths,3.0,6.0,"$2,094.00",3,1125,10.0,10.0,10.0,9.0,9.0,10.0,t,22
5769,f,Beyoglu,Private room,4,2 baths,2.0,2.0,$666.00,1,30,10.0,8.0,10.0,10.0,10.0,10.0,t,4
5770,f,Sisli,Private room,1,1 shared bath,,1.0,$160.00,1,4,,,,,,,f,1
5771,f,Sisli,Entire home/apt,6,2 baths,3.0,6.0,"$4,663.00",1,1125,,,,,,,f,22
5772,f,Sisli,Entire home/apt,2,1 bath,1.0,1.0,$856.00,1,1125,8.0,10.0,8.0,8.0,9.0,8.0,t,22
5773,f,Sisli,Hotel room,2,1 bath,1.0,2.0,"$3,045.00",1,1125,,,,,,,t,22
5774,f,Sisli,Entire home/apt,8,2 baths,4.0,4.0,"$3,331.00",10,1125,10.0,10.0,10.0,10.0,9.0,9.0,t,22
5775,f,Sisli,Entire home/apt,2,1.5 baths,,1.0,$140.00,2,10,10.0,9.0,9.0,10.0,10.0,10.0,f,1
5776,f,Beyoglu,Private room,6,3 baths,3.0,3.0,"$1,047.00",1,30,10.0,8.0,10.0,8.0,10.0,8.0,t,4
5777,f,Beyoglu,Entire home/apt,3,1 bath,2.0,2.0,$523.00,4,1125,9.0,8.0,10.0,10.0,10.0,9.0,t,1
5778,f,Beyoglu,Hotel room,4,1.5 baths,1.0,4.0,$285.00,1,1125,10.0,9.0,10.0,10.0,10.0,10.0,f,17
5779,f,Besiktas,Private room,2,1 shared bath,1.0,1.0,$211.00,1,1125,9.0,9.0,10.0,10.0,10.0,9.0,f,1
5780,f,Sariyer,Private room,1,1 shared bath,1.0,1.0,$80.00,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,1
5781,f,Fatih,Private room,1,1 shared bath,1.0,1.0,$78.00,1,1125,10.0,10.0,10.0,10.0,10.0,9.0,t,3
5782,f,Besiktas,Entire home/apt,1,1 bath,1.0,1.0,$914.00,1,43,,,,,,,t,1
5783,f,Sisli,Entire home/apt,1,1 bath,1.0,1.0,$571.00,1,5,,,,,,,f,2
5784,f,Sisli,Private room,1,1 shared bath,1.0,1.0,$333.00,1,5,6.0,6.0,8.0,8.0,8.0,8.0,f,2
5785,f,Fatih,Entire home/apt,5,1 bath,2.0,5.0,$805.00,31,31,,,,,,,t,3
5786,f,Eyup,Private room,2,1 shared bath,1.0,2.0,$100.00,1,1125,8.0,8.0,6.0,2.0,6.0,6.0,t,1
5787,f,Sisli,Entire home/apt,3,1 bath,1.0,2.0,$765.00,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,t,2
5788,f,Uskudar,Private room,2,1 shared bath,2.0,1.0,$122.00,3,1125,10.0,8.0,10.0,10.0,10.0,9.0,t,1
5789,t,Esenyurt,Entire home/apt,2,1 bath,1.0,3.0,$163.00,90,500,10.0,10.0,10.0,10.0,10.0,10.0,t,1
5790,f,Besiktas,Private room,5,1 shared bath,1.0,1.0,$96.00,1,1125,8.0,8.0,8.0,8.0,8.0,8.0,t,1
5791,t,Beyoglu,Hotel room,2,1 bath,1.0,1.0,$231.00,1,30,9.0,10.0,10.0,10.0,9.0,9.0,t,8
5792,f,Besiktas,Private room,4,1 shared bath,2.0,2.0,$163.00,1,365,6.0,8.0,10.0,10.0,10.0,10.0,t,1
5793,t,Beyoglu,Entire home/apt,4,1 bath,1.0,2.0,$371.00,1,1124,10.0,9.0,10.0,10.0,10.0,9.0,t,3
5794,f,Sisli,Private room,2,1 shared bath,1.0,1.0,$129.00,1,1125,,,,,,,f,1
5795,f,Kadikoy,Entire home/apt,4,2 baths,2.0,3.0,$405.00,4,1125,,,,,,,f,1
5796,t,Fatih,Hotel room,3,1 bath,,3.0,$333.00,1,42,9.0,10.0,10.0,10.0,10.0,9.0,t,3
5797,f,Fatih,Private room,3,1 private bath,1.0,2.0,$561.00,1,100,,,,,,,t,27
5798,f,Sisli,Entire home/apt,6,2 baths,2.0,4.0,"$1,150.00",1,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,22
5799,f,Sisli,Entire home/apt,2,1 bath,1.0,2.0,$280.00,1,1125,,,,,,,f,22
5800,f,Besiktas,Entire home/apt,3,1 bath,2.0,3.0,$500.00,60,1125,,,,,,,f,22
5801,f,Fatih,Private room,4,1 private bath,2.0,3.0,$657.00,1,100,6.0,6.0,6.0,7.0,9.0,6.0,t,27
5802,f,Sisli,Private room,2,1.5 shared baths,2.0,2.0,$80.00,1,20,10.0,9.0,10.0,9.0,9.0,10.0,f,1
5803,f,Fatih,Private room,2,1 private bath,1.0,1.0,$466.00,1,100,,,,,,,t,27
5804,f,Fatih,Private room,2,1 private bath,1.0,1.0,$419.00,1,100,,,,,,,t,27
5805,f,Uskudar,Entire home/apt,1,1 bath,2.0,2.0,$201.00,3,15,10.0,10.0,10.0,10.0,10.0,10.0,t,1
5806,f,Bagcilar,Private room,4,1 private bath,2.0,3.0,$350.00,2,180,9.0,9.0,10.0,9.0,9.0,9.0,f,1
5807,t,Sisli,Private room,2,1 shared bath,1.0,1.0,$190.00,2,1125,9.0,9.0,10.0,10.0,10.0,9.0,f,2
5808,f,Fatih,Private room,1,1 private bath,1.0,1.0,$276.00,1,100,9.0,9.0,9.0,8.0,8.0,9.0,t,27
5809,f,Besiktas,Private room,2,1 private bath,1.0,1.0,$236.00,5,1125,10.0,10.0,10.0,10.0,10.0,10.0,t,1
5810,f,Beyoglu,Private room,3,1 private bath,,1.0,$180.00,1,1125,,,,,,,t,4
