,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
9489,10659,11647,11647,0,32,2,5,2.0,2.0,5.0,80.0,10,15,5.0,5.0,5.0,5.0,5.0,5.0,1,1
9490,10660,11648,11648,0,2,2,1,1.0,1.0,1.0,100.0,1,10,4.0,4.0,4.0,8.0,10.0,6.0,1,1
9491,10661,11649,11649,0,13,1,4,1.0,1.0,1.0,407.0,3,7,5.0,5.0,5.0,5.0,5.0,5.0,1,1
9492,10662,11650,11650,0,21,1,5,1.0,1.0,4.0,244.0,10,90,5.0,5.0,5.0,5.0,5.0,5.0,1,1
9493,10663,11651,11651,0,5,1,3,1.0,1.0,1.0,684.0,3,1125,9.0,10.0,10.0,10.0,10.0,10.0,1,1
9494,10665,11653,11653,0,14,1,5,1.0,3.0,5.0,385.0,30,365,5.0,5.0,5.0,5.0,5.0,5.0,1,4
9495,10667,11655,11655,0,14,1,5,1.0,3.0,5.0,385.0,30,365,5.0,5.0,5.0,5.0,5.0,5.0,1,4
9496,10668,11656,11656,0,14,2,3,1.0,1.0,3.0,80.0,1,15,5.0,5.0,5.0,5.0,5.0,5.0,1,2
9497,10669,11657,11657,0,3,2,2,1.0,1.0,1.0,200.0,1,1125,10.0,10.0,10.0,10.0,9.0,10.0,1,4
9498,10670,11658,11658,0,4,1,2,1.0,1.0,1.0,170.0,2,30,7.0,7.0,7.0,7.0,9.0,7.0,1,3
9499,10671,11659,11659,0,2,1,10,2.0,2.0,5.0,362.0,2,30,7.0,7.0,8.0,8.0,7.0,8.0,1,1
9500,10673,11661,11661,0,1,1,16,2.0,3.0,5.0,450.0,1,1125,2.0,6.0,4.0,6.0,10.0,6.0,1,3
9501,10674,11662,11662,1,1,1,2,1.0,1.0,1.0,379.0,2,7,10.0,10.0,10.0,10.0,10.0,10.0,0,1
9502,10675,11663,11663,0,1,1,4,1.0,1.0,3.0,370.0,3,1125,10.0,9.0,10.0,10.0,10.0,9.0,1,5
9503,10676,11664,11664,0,5,2,3,1.0,1.0,2.0,350.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,2
9504,10677,11665,11665,0,2,2,2,1.0,1.0,1.0,90.0,1,7,10.0,10.0,10.0,10.0,10.0,10.0,1,1
9505,10678,11666,11666,1,1,1,8,2.0,3.0,4.0,666.0,3,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,2
9506,10679,11667,11667,0,1,2,2,1.0,1.0,1.0,190.0,1,1125,10.0,9.0,10.0,10.0,10.0,9.0,1,5
9507,10680,11668,11668,1,1,2,2,1.0,1.0,1.0,180.0,3,15,10.0,9.0,10.0,10.0,10.0,9.0,0,1
9508,10681,11669,11669,0,8,1,4,1.0,1.0,2.0,250.0,3,30,5.0,5.0,5.0,5.0,5.0,5.0,1,1
9509,10682,11670,11670,0,8,2,1,1.0,1.0,1.0,60.0,1,25,2.0,2.0,10.0,10.0,10.0,2.0,1,1
9510,10683,11671,11671,0,12,3,2,1.0,1.0,1.0,350.0,1,1125,8.0,6.0,9.0,8.0,9.0,8.0,1,3
9511,10685,11673,11673,0,1,1,2,1.0,1.0,2.0,362.0,1,1125,9.0,10.0,10.0,10.0,10.0,10.0,0,1
