,Unnamed: 0,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
14097,14097,0,7,1,2,1,1.0,2.0,156.0,1,1125,4.0,4.0,10.0,10.0,8.0,6.0,1,14
14098,14098,0,8,2,3,1,1.0,1.0,201.0,1,14,5,5,5,5,5,5,0,1
14099,14099,0,22,2,4,1,1.0,2.0,285.0,1,1125,5,5,5,5,5,5,0,2
14100,14100,0,11,2,1,1,1.0,1.0,80.0,30,1125,5,5,5,5,5,5,0,2
14101,14101,0,15,1,1,1,1.0,1.0,590.0,1,4,5,5,5,5,5,5,1,1
14102,14102,0,5,2,2,1,1.0,2.0,443.0,2,7,5,5,5,5,5,5,0,1
14103,14103,0,25,1,2,1,1.0,2.0,300.0,1,8,5,5,5,5,5,5,1,1
14104,14104,0,8,2,2,2,1.0,1.0,80.0,1,1125,5,5,5,5,5,5,1,1
14105,14105,1,5,1,4,1,2.0,2.0,323.0,2,1125,10.0,10.0,10.0,10.0,10.0,9.0,0,3
14106,14106,0,2,2,2,1,1.0,1.0,105.0,1,12,5,5,5,5,5,5,0,2
14107,14107,0,8,2,2,1,1.0,1.0,120.0,2,29,5,5,5,5,5,5,0,2
14108,14108,0,8,4,1,1,1.0,1.0,90.0,1,1125,5,5,5,5,5,5,1,1
14109,14109,0,1,1,2,1,1.0,1.0,190.0,1,45,10.0,10.0,10.0,10.0,10.0,10.0,1,8
14110,14110,0,2,2,2,1,1.0,0.0,273.0,1,1125,5,5,5,5,5,5,1,3
14111,14111,0,2,2,1,1,1.0,0.0,172.0,1,1125,5,5,5,5,5,5,1,3
14112,14112,0,4,2,2,1,1.0,0.0,241.0,5,30,5,5,5,5,5,5,1,2
14113,14113,0,4,2,2,1,1.0,1.0,163.0,5,60,5,5,5,5,5,5,1,2
14114,14114,0,2,2,1,1,1.0,1.0,114.0,1,2,5,5,5,5,5,5,1,1
14115,14115,0,25,1,6,2,3.0,4.0,733.0,3,30,5,5,5,5,5,5,1,1
14116,14116,0,25,2,3,1,1.0,2.0,489.0,3,1125,5,5,5,5,5,5,1,3
14117,14117,1,1,1,4,1,1.0,2.0,304.0,2,180,10.0,10.0,10.0,10.0,10.0,10.0,0,46
14118,14118,0,28,2,3,3,3.0,3.0,91.0,1,60,5,5,5,5,5,5,1,2
14120,14120,1,1,1,6,1,3.0,4.0,374.0,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,4
14121,14121,0,3,2,2,1,1.0,1.0,238.0,1,1125,5,5,5,5,5,5,0,6
14122,14122,0,1,1,2,2,1.0,1.0,164.0,2,1125,10.0,10.0,10.0,10.0,10.0,9.0,0,2
14123,14123,0,2,1,3,1,1.0,1.0,238.0,2,14,5,5,5,5,5,5,1,1
14124,14124,1,1,1,6,2,2.0,5.0,508.0,2,1125,10.0,9.0,10.0,10.0,10.0,10.0,1,14
14125,14125,0,8,4,2,1,1.0,2.0,80.0,1,1125,5,5,5,5,5,5,0,1
