,Unnamed: 0,Unnamed: 0.1,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
17956,20131,20131,0,4,2,2,1.0,1.0,1.0,80.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,0,1
17957,20132,20132,0,1,1,4,1.0,1.0,4.0,328.0,3,15,10.0,10.0,10.0,10.0,10.0,9.0,0,1
17958,20133,20133,0,2,1,1,1.0,1.0,1.0,250.0,7,365,5.0,5.0,5.0,5.0,5.0,5.0,1,4
17959,20134,20134,1,1,2,2,1.0,1.0,2.0,78.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,1
17960,20135,20135,0,2,2,3,1.0,1.0,2.0,200.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,5
17961,20136,20136,0,2,2,1,1.0,1.0,1.0,201.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17962,20137,20137,0,2,2,3,1.0,1.0,2.0,200.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,5
17963,20138,20138,0,2,1,6,1.0,2.0,3.0,966.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,1,3
17964,20139,20139,0,2,1,2,1.0,1.0,1.0,162.0,1,1125,10.0,9.0,10.0,10.0,9.0,9.0,1,5
17965,20140,20140,1,1,1,2,1.0,1.0,1.0,276.0,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,8
17966,20143,20143,0,3,2,3,1.0,1.0,2.0,250.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,2
17967,20144,20144,0,3,2,3,1.0,1.0,2.0,466.0,1,25,5.0,5.0,5.0,5.0,5.0,5.0,1,3
17969,20148,20148,0,24,1,4,1.0,1.0,1.0,327.0,3,30,5.0,5.0,5.0,5.0,5.0,5.0,0,1
17970,20149,20149,0,4,1,2,1.0,3.0,3.0,337.0,3,100,5.0,5.0,5.0,5.0,5.0,5.0,0,1
17971,20150,20150,0,7,1,6,2.0,2.0,6.0,481.0,4,14,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17972,20151,20151,0,2,1,2,1.0,1.0,2.0,198.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,8
17973,20152,20152,0,5,1,2,1.0,1.0,1.0,483.0,7,60,10.0,10.0,10.0,10.0,10.0,10.0,0,1
17974,20153,20153,0,2,1,2,1.0,1.0,0.0,179.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,8
17975,20154,20154,0,10,2,1,1.0,1.0,2.0,100.0,1,14,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17976,20155,20155,0,2,1,2,1.0,1.0,0.0,171.0,1,1125,10.0,8.0,10.0,10.0,6.0,8.0,1,8
17977,20156,20156,0,2,1,2,1.0,1.0,2.0,217.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,8
17978,20157,20157,0,3,2,4,1.0,2.0,3.0,181.0,1,1125,8.0,10.0,10.0,10.0,10.0,10.0,1,3
17979,20158,20158,0,2,1,2,1.0,1.0,2.0,198.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,8
17980,20159,20159,0,4,2,2,1.0,1.0,1.0,100.0,1,60,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17981,20160,20160,0,3,2,3,1.0,1.0,2.0,143.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,3
17982,20161,20161,0,3,2,2,1.0,1.0,1.0,124.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,3
17983,20162,20162,0,2,1,2,1.0,1.0,2.0,220.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,8
17984,20163,20163,0,2,1,2,1.0,1.0,2.0,198.0,1,1125,10.0,8.0,10.0,10.0,10.0,10.0,1,8
