host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,price
,,,0.0,2.0,2.0,1.0,0.0,1,2,2,1,1.0,1.0,2,20,1,38,0,0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2,0.34,201.0
within a few hours,100.0,95.0,1.0,15.0,15.0,1.0,1.0,1,2,1,1,1.0,1.0,20,1124,1,26,3,0,98.0,10.0,9.0,10.0,10.0,10.0,10.0,0,9,0.26,143.0
within a few hours,100.0,95.0,1.0,15.0,15.0,1.0,1.0,1,2,1,1,1.0,1.0,16,1124,1,30,8,1,95.0,9.0,8.0,10.0,9.0,9.0,9.0,0,9,0.29,116.0
,,,0.0,1.0,1.0,1.0,1.0,6,2,1,1,1.0,1.0,1,730,1,0,0,0,,,,,,,,0,1,,231.0
,,,0.0,1.0,1.0,1.0,0.0,7,2,3,1,1.0,,1,730,1,0,0,0,,,,,,,,0,1,,818.0
within an hour,100.0,100.0,0.0,0.0,0.0,1.0,1.0,1,1,3,1,1.0,1.0,3,1125,1,99,0,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0.89,238.0
within a day,100.0,,0.0,2.0,2.0,1.0,0.0,1,1,3,2,1.0,2.0,14,730,1,2,0,0,80.0,8.0,8.0,10.0,10.0,10.0,10.0,0,2,0.02,381.0
,,,0.0,1.0,1.0,1.0,1.0,1,2,2,1,1.0,1.0,3,90,1,10,0,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0.1,337.0
within a day,50.0,,0.0,3.0,3.0,1.0,0.0,25,2,12,1,1.0,2.0,1,730,1,0,0,0,,,,,,,,0,2,,3113.0
within a few hours,80.0,90.0,0.0,10.0,10.0,1.0,1.0,4,1,4,1,3.0,3.0,3,365,1,15,1,0,96.0,9.0,9.0,10.0,10.0,9.0,9.0,1,3,0.15,674.0
,,,0.0,2.0,2.0,1.0,0.0,3,2,3,0,1.0,2.0,20,210,1,40,0,0,98.0,10.0,9.0,10.0,10.0,10.0,10.0,0,2,0.36,143.0
within an hour,97.0,70.0,0.0,1.0,1.0,1.0,1.0,1,1,3,1,1.0,1.0,30,365,1,83,1,0,93.0,10.0,9.0,10.0,10.0,10.0,9.0,0,12,0.75,213.0
,,,0.0,6.0,6.0,1.0,0.0,1,1,4,1,2.0,2.0,5,365,1,9,0,0,90.0,9.0,10.0,10.0,10.0,10.0,8.0,0,7,0.08,561.0
within an hour,100.0,25.0,1.0,3.0,3.0,1.0,1.0,6,1,3,1,1.0,1.0,3,180,1,26,1,0,94.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2,0.24,381.0
,,,0.0,1.0,1.0,1.0,0.0,4,2,6,1,1.0,6.0,1,365,1,4,0,0,100.0,10.0,9.0,10.0,10.0,9.0,10.0,0,1,0.04,155.0
,,,0.0,1.0,1.0,1.0,1.0,2,2,1,1,1.0,1.0,5,660,1,0,0,0,,,,,,,,0,1,,381.0
,,,0.0,1.0,1.0,0.0,0.0,13,1,4,1,2.0,,1,760,1,0,0,0,,,,,,,,0,1,,963.0
,,,0.0,6.0,6.0,1.0,0.0,1,1,4,1,2.0,2.0,5,365,1,10,0,0,89.0,9.0,9.0,10.0,9.0,8.0,9.0,0,7,0.09,942.0
within a few hours,100.0,100.0,0.0,3.0,3.0,1.0,1.0,3,2,4,1,1.0,0.0,1,1125,1,60,2,0,86.0,8.0,9.0,9.0,9.0,9.0,9.0,1,3,0.55,564.0
within a day,100.0,,0.0,2.0,2.0,1.0,0.0,1,2,1,2,1.0,1.0,14,760,1,1,0,0,100.0,8.0,8.0,10.0,8.0,10.0,10.0,0,2,0.02,333.0
within an hour,100.0,,0.0,2.0,2.0,1.0,1.0,4,2,1,1,1.0,1.0,2,365,1,11,0,0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0,2,0.16,146.0
within an hour,100.0,,0.0,2.0,2.0,1.0,1.0,4,2,1,1,1.0,1.0,2,760,1,1,0,0,80.0,10.0,8.0,10.0,10.0,10.0,10.0,0,2,0.03,177.0
,,,0.0,2.0,2.0,1.0,0.0,3,2,2,1,1.0,2.0,1,365,1,0,0,0,,,,,,,,0,1,,523.0
,,,0.0,1.0,1.0,1.0,0.0,3,2,3,1,1.0,3.0,2,30,1,0,0,0,,,,,,,,0,1,,714.0
,,,0.0,1.0,1.0,1.0,1.0,1,1,2,1,1.0,1.0,7,90,1,1,0,0,100.0,,10.0,10.0,10.0,10.0,10.0,0,1,0.01,476.0
within an hour,94.0,100.0,0.0,14.0,14.0,1.0,1.0,1,1,5,1,3.0,4.0,1,365,1,68,4,1,92.0,9.0,9.0,9.0,10.0,10.0,9.0,1,3,0.63,769.0
,,,0.0,1.0,1.0,1.0,0.0,1,2,2,1,1.0,1.0,1,365,1,0,0,0,,,,,,,,0,1,,856.0
,,,0.0,1.0,1.0,1.0,0.0,1,1,8,1,2.0,2.0,2,760,1,0,0,0,,,,,,,,0,1,,952.0
within an hour,100.0,100.0,0.0,16.0,16.0,1.0,1.0,3,2,3,2,1.0,2.0,3,200,1,230,32,0,93.0,10.0,10.0,10.0,10.0,10.0,10.0,1,15,3.19,107.0
within an hour,100.0,100.0,0.0,16.0,16.0,1.0,1.0,3,2,3,2,1.0,3.0,2,1125,1,14,2,0,95.0,9.0,9.0,9.0,10.0,9.0,9.0,1,15,0.14,89.0
within an hour,100.0,75.0,0.0,5.0,5.0,1.0,1.0,2,1,5,1,4.0,4.0,2,365,1,32,3,0,93.0,9.0,9.0,10.0,10.0,10.0,9.0,0,4,0.31,362.0
within an hour,100.0,100.0,1.0,11.0,11.0,1.0,1.0,1,1,6,2,2.0,3.0,2,60,1,96,11,2,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1,13,0.92,514.0
,,,0.0,1.0,1.0,1.0,0.0,2,1,2,1,2.0,1.0,2,365,1,2,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0.02,402.0
,,,0.0,3.0,3.0,1.0,0.0,2,2,2,1,1.0,1.0,1,365,1,0,0,0,,,,,,,,0,2,,322.0
within an hour,100.0,100.0,0.0,16.0,16.0,1.0,1.0,3,2,3,2,1.0,3.0,2,100,1,152,0,0,89.0,9.0,9.0,10.0,10.0,9.0,9.0,1,15,1.42,89.0
,,,0.0,1.0,1.0,1.0,0.0,3,1,3,1,3.0,3.0,7,365,1,0,0,0,,,,,,,,0,1,,476.0
within an hour,97.0,70.0,0.0,1.0,1.0,1.0,1.0,1,1,3,1,1.0,2.0,3,800,1,144,1,0,93.0,9.0,10.0,10.0,10.0,10.0,9.0,0,12,1.34,266.0
,,,0.0,2.0,2.0,1.0,0.0,1,1,4,2,1.0,1.0,30,365,1,0,0,0,,,,,,,,0,2,,1618.0
within an hour,100.0,100.0,0.0,16.0,16.0,1.0,1.0,3,4,3,2,1.0,3.0,2,300,1,79,0,0,90.0,9.0,9.0,9.0,9.0,9.0,9.0,1,15,0.77,80.0
within an hour,100.0,0.0,0.0,3.0,3.0,1.0,0.0,4,1,3,1,1.0,2.0,3,760,1,28,2,0,90.0,9.0,9.0,9.0,9.0,9.0,9.0,0,3,0.53,362.0
within an hour,100.0,0.0,0.0,3.0,3.0,1.0,0.0,4,1,5,1,2.0,3.0,3,760,1,8,0,0,80.0,9.0,8.0,9.0,9.0,9.0,9.0,0,3,0.16,619.0
within an hour,100.0,0.0,0.0,3.0,3.0,1.0,0.0,4,1,4,1,1.0,2.0,3,365,1,46,0,0,84.0,9.0,9.0,9.0,8.0,9.0,8.0,0,3,0.48,428.0
,,100.0,0.0,1.0,1.0,1.0,0.0,4,1,4,1,3.0,2.0,4,15,1,0,0,0,,,,,,,,1,2,,806.0
,,100.0,1.0,1.0,1.0,1.0,1.0,1,1,6,2,3.0,4.0,2,365,1,262,20,0,95.0,10.0,9.0,10.0,10.0,10.0,9.0,1,3,2.45,1434.0
,,,0.0,1.0,1.0,1.0,1.0,1,1,2,1,1.0,1.0,7,10,1,0,0,0,,,,,,,,0,1,,714.0
within a few hours,100.0,96.0,1.0,5.0,5.0,1.0,1.0,1,1,3,1,2.0,2.0,6,1125,1,67,11,0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,4,0.65,544.0
within a few hours,100.0,96.0,1.0,5.0,5.0,1.0,1.0,1,1,3,1,2.0,2.0,6,1125,1,35,6,0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0,4,0.34,544.0
within a few hours,100.0,96.0,1.0,5.0,5.0,1.0,1.0,1,1,3,1,2.0,2.0,6,1125,1,80,26,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,4,3.59,536.0
within a few hours,100.0,96.0,1.0,5.0,5.0,1.0,1.0,1,1,2,1,1.0,1.0,6,1125,1,69,11,1,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,4,0.67,483.0
,,,0.0,1.0,1.0,1.0,1.0,1,1,6,1,2.0,2.0,1,1125,1,57,0,0,90.0,9.0,9.0,9.0,9.0,9.0,9.0,0,1,0.55,952.0
within an hour,100.0,75.0,0.0,5.0,5.0,1.0,1.0,2,2,1,1,1.0,1.0,1,365,1,10,0,0,97.0,9.0,10.0,10.0,10.0,9.0,10.0,0,4,0.09,161.0
within an hour,100.0,75.0,0.0,5.0,5.0,1.0,1.0,2,2,2,1,1.0,1.0,2,365,1,58,0,0,88.0,9.0,9.0,9.0,9.0,9.0,9.0,0,4,0.56,190.0
,,,0.0,3.0,3.0,1.0,1.0,1,1,6,1,2.0,2.0,6,1125,1,0,0,0,,,,,,,,0,3,,666.0
,,,0.0,3.0,3.0,1.0,1.0,1,1,4,1,2.0,2.0,6,90,1,1,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,3,0.02,666.0
within an hour,100.0,,0.0,3.0,3.0,1.0,0.0,18,1,4,1,2.0,3.0,3,1125,1,4,0,0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2,0.1,857.0
,,,0.0,1.0,1.0,1.0,0.0,2,2,1,1,1.0,,2,1125,1,0,0,0,,,,,,,,0,1,,476.0
,,,0.0,2.0,2.0,1.0,0.0,1,1,3,2,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,2,,1903.0
within a day,100.0,50.0,0.0,2.0,2.0,1.0,0.0,20,1,6,1,3.0,3.0,1,365,1,2,1,0,90.0,10.0,9.0,10.0,10.0,9.0,9.0,0,1,0.12,770.0
within a few hours,90.0,83.0,0.0,2.0,2.0,1.0,1.0,1,1,4,2,2.0,2.0,3,365,1,11,2,1,86.0,10.0,10.0,10.0,10.0,8.0,9.0,0,2,0.14,442.0
,,,0.0,1.0,1.0,1.0,0.0,2,2,1,1,1.0,1.0,2,12,1,35,0,0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0.34,177.0
